sample	9hrs	12hrs	24hrs
926DthrABCDasd pfb6.4.3	185.4797122	380.0799845	762.9850793
277DthrABCDasdDlysC pfb6.4.2	0	0.34346036	38.39688293
277DthrABCDasd pfb6.4.3 +	683.5373377	951.6790246	1521.94115
277DthrABCDasdDtdh pfb6.4.3	139.6382763	306.3773618	792.7529674
926fb1	0	16.00287039	17.34534378
277DthrABCDasdDtd hDrhtA pfb6.4.3 aspC +	451.597961	710.3478931	1369.32166
926fb1 pntAB	0	3.56762004	7.406037728
277-14ptac-asd aceBA	0	0	3.44254488
277-14 pntAB +	151.7761257	372.4281641	845.8793364
926fb1 pta-asd ppc	0	0	4.465381744
926fb1 pta-asd ppc +	1.155059176	0	1.349620536
926DthrABCDasd pfb6.4.3 pyc	99.49192942	464.0109757	1042.450237
277DthrABCDasdDlysC pfb6.4.3 	163.3747622	390.9726412	708.7747255
277DthrABCDasd pfb6.4.3 rhtA +	270.0082848	548.0642627	1131.400912
277DthrABCDasdDtdh pfb6.4.3 pntAB	345.3396639	682.9731097	1122.540031
926fb1 ppc	0	28.51594529	22.48176368
277DthrABCDasdD lysC pfb6.4.3 rhtA +	385.9557375	721.3072565	1448.524811
926fb1 zwf	0	25.95051478	88.67153835
277-14ptac-asd aspC	0	7.436611656	93.24650976
277-14 zwf +	1.193971448	165.6844835	793.7952604
926fb1 pta-asd aceBA	0	0	14.05447734
926fb1 pta-asd aceBA +	55.57109212	254.2071229	417.469119
926DthrABCDasdDlysC pfb6.4.2	0	0	191.0135932
277DthrABCDasdDdhaM pfb6.4.3 aspC	290.2926963	332.7543234	512.4511955
277DthrABCDasd pfb6.4.3 pyc +	366.7330752	636.3172956	1146.373798
277DthrABCDasdDtdh pfb6.4.3 zwf	42.39928805	119.906975	1011.695645
926fb1 aceBA	0	0	17.08963456
277DthrABCDasdDlysC pfb6.4.3 aspC +	487.6057098	844.511848	1164.209516
277-14	0	3.589855624	107.0853814
277-14ptac-asd pntAB	0	1.708169328	122.0777239
277-14ptac-asd +	183.2144621	457.8600573	823.6771058
926fb1 pta-asd aspC	0.390710976	0	22.98484377
926fb1 pta-asd aspC +	197.6231205	341.8014266	358.1695959
926DthrABCDasdDlysC pfb6.4.3	284.0611739	603.2168494	651.5458912
277DthrABCDasdDdhaM pfb6.4.3 pntAB	330.4223665	597.2132417	760.6864758
277DthrABCDasd pfb6.4.3 ppc +	669.0675314	854.7346578	1398.853295
277DthrABCDasdDtdh pfb6.4.3 aspC	224.2696885	475.6346273	927.3755312
926fb1 aspC	0	27.71546426	22.59572105
277DthrABCDasdDlysC pfb6.4.3 pntAB +	512.9681728	586.1371414	1091.613114
277-14 aceBA	0	0	46.76024196
926fb1ptac-asd	0	0	193.642951
277-14ptac-asd ppc +	0	0	0
926fb1 pta-asd pntAB	0	0	19.7495663
926fb1 pta-asd pntAB +	198.6570752	245.0154884	333.6743207
277DthrABCDasd pfb6.4.3	96.08154672	285.2618954	734.5179729
926DthrABCDasd pfb6.4.3 +	1084.055794	990.4189708	1322.785363
277DthrABCDasdDlysC pfb6.4.2 +	133.506814	235.8794428	878.0403292
277DthrABCDasdDtdhDrhtA pfb6.4.3 aspC	131.1748572	205.7391087	747.820411
277DthrABCDasdDtdh pfb6.4.3 +	615.474215	934.4214319	1579.531313
926fb1 +	342.3211834	415.8292446	476.6157724
277-14 pntAB	0	17.07295787	188.0479221
926fb1 pntAB +	135.4079565	225.6594125	295.4596901
277-14ptac-asd aceBA +	0	0.507447792	0
926 DlysC pta-thrABC  ptac-asd	0	0	184.3401385
926 DlysC pta-thrABC  ptac-asd +	387.6317447	441.9949681	478.8615664
277DthrABCDasd pfb6.4.3 rhtA	52.8249975	135.6553273	1045.749442
926DthrABCDasd pfb6.4.3 pyc +	637.1010999	801.9584991	1128.274033
277DthrABCDasdDlysC pfb6.4.3  +	709.2527906	898.5109638	1424.454791
277DthrABCDasdDlysC pfb6.4.3 rhtA	123.5397135	163.894519	1241.039017
277DthrABCDasdDtdh pfb6.4.3 pntAB +	622.8119578	710.5452339	1151.462967
926fb1 ppc +	149.8638655	266.2421327	181.5773672
277-14 zwf	0	0	69.95473552
926fb1 zwf +	110.5847064	316.2749762	728.3337011
277-14ptac-asd aspC +	146.553543	405.1561643	612.4890879
277 DlysC pta-thrABC  ptac-asd ppc	0	0	7.845190512
277 DlysC pta-thrABC  ptac-asd ppc +	0	3.022848232	15.01060746
277DthrABCDasd pfb6.4.3 pyc	105.4288303	244.337303	1134.183139
926DthrABCDasdDlysC pfb6.4.2 +	170.2789111	479.1589673	1553.151572
277DthrABCDasdDdhaM pfb6.4.3 aspC +	583.0936458	733.600755	1385.581431
277DthrABCDasdDlysC pfb6.4.3 aspC	154.2109222	330.9699178	695.9225579
277DthrABCDasdDtdh pfb6.4.3 zwf +	142.6289624	209.594203	503.9822174
926fb1 aceBA +	176.5715814	237.8834248	321.1779224
277-14ptac-asd	0	14.00722673	121.7608668
277-14 +	123.9733074	315.2160065	879.0992989
277-14ptac-asd pntAB +	212.1457363	666.2769656	1086.707388
926 DlysC pta-thrABC  ptac-asd aspC	0	0	15.66655718
926 DlysC pta-thrABC  ptac-asd aspC +	250.2241739	369.7626735	437.8118989
277DthrABCDasd pfb6.4.3 ppc	151.9178776	361.6772593	1093.739391
926DthrABCDasdDlysC pfb6.4.3 +	715.9290246	1244.14922	1587.925246
277DthrABCDasdDdhaM pfb6.4.3 pntAB +	504.5547837	962.9913779	1376.987378
277DthrABCDasdDlysC pfb6.4.3 pntAB	221.8793632	348.5527058	918.7898164
277DthrABCDasdDtdh pfb6.4.3 aspC +	537.9526309	733.6646823	1011.203683
926fb1 aspC +	222.7660071	307.1528278	300.0402204
277-14ptac-asd ppc	0	7.239270848	0
277-14 aceBA +	0	12.25895394	828.0019269
926fb1ptac-asd +	161.3763391	308.7927022	288.8557217
926 DlysC pta-thrABC  ptac-asd pntAB	0	6.358185832	19.29651627
926 DlysC pta-thrABC  ptac-asd pntAB +	226.940738	473.0914323	506.2558059
