num	old_strain	sample	IPTG	time	medium
1	277	7_0_0_A_asdO_000_D000_0_4p5_M1	0	4.5	M1
2	277	7_0_0_A_asdO_000_D000_0_6_M1	0	6	M1
3	277	7_0_0_A_asdO_000_D000_0_12_M1	0	12	M1
4	277	7_0_0_A_asdO_000_D000_0_24_M1	0	24	M1
5	277	7_0_0_A_asdO_000_D000_I_4p5_M1	I	4.5	M1
6	277	7_0_0_A_asdO_000_D000_I_6_M1	I	6	M1
7	277	7_0_0_A_asdO_000_D000_I_12_M1	I	12	M1
8	277	7_0_0_A_asdO_000_D000_I_24_M1	I	24	M1
9	277dthrABCdasd pwt2.1.1	7_D_Tasd_P_asdD_000_D000_0_4p5_M1	0	4.5	M1
10	277dthrABCdasd pwt2.1.1	7_D_Tasd_P_asdD_000_D000_0_6_M1	0	6	M1
11	277dthrABCdasd pwt2.1.1	7_D_Tasd_P_asdD_000_D000_0_12_M1	0	12	M1
12	277dthrABCdasd pwt2.1.1	7_D_Tasd_P_asdD_000_D000_0_24_M1	0	24	M1
13	277dthrABCdasd pwt2.1.1	7_D_Tasd_P_asdD_000_D000_I_4p5_M1	I	4.5	M1
14	277dthrABCdasd pwt2.1.1	7_D_Tasd_P_asdD_000_D000_I_6_M1	I	6	M1
15	277dthrABCdasd pwt2.1.1	7_D_Tasd_P_asdD_000_D000_I_12_M1	I	12	M1
16	277dthrABCdasd pwt2.1.1	7_D_Tasd_P_asdD_000_D000_I_24_M1	I	24	M1
17	277dthrABCdasddlysA pwt2.1.1	7_D_Tasd_P_asdD_000_DlysA_0_4p5_M1	0	4.5	M1
18	277dthrABCdasddlysA pwt2.1.1	7_D_Tasd_P_asdD_000_DlysA_0_6_M1	0	6	M1
19	277dthrABCdasddlysA pwt2.1.1	7_D_Tasd_P_asdD_000_DlysA_0_12_M1	0	12	M1
20	277dthrABCdasddlysA pwt2.1.1	7_D_Tasd_P_asdD_000_DlysA_0_24_M1	0	24	M1
21	277dthrABCdasddlysA pwt2.1.1	7_D_Tasd_P_asdD_000_DlysA_I_4p5_M1	I	4.5	M1
22	277dthrABCdasddlysA pwt2.1.1	7_D_Tasd_P_asdD_000_DlysA_I_6_M1	I	6	M1
23	277dthrABCdasddlysA pwt2.1.1	7_D_Tasd_P_asdD_000_DlysA_I_12_M1	I	12	M1
24	277dthrABCdasddlysA pwt2.1.1	7_D_Tasd_P_asdD_000_DlysA_I_24_M1	I	24	M1
25	277dthrABCdasddlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DlysC_0_4p5_M1	0	4.5	M1
26	277dthrABCdasddlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DlysC_0_6_M1	0	6	M1
27	277dthrABCdasddlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DlysC_0_12_M1	0	12	M1
28	277dthrABCdasddlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DlysC_0_24_M1	0	24	M1
29	277dthrABCdasddlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DlysC_I_4p5_M1	I	4.5	M1
30	277dthrABCdasddlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DlysC_I_6_M1	I	6	M1
31	277dthrABCdasddlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DlysC_I_12_M1	I	12	M1
32	277dthrABCdasddlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DlysC_I_24_M1	I	24	M1
33	277dthrABCdasddptsG pwt2.1.1	7_D_Tasd_P_asdD_000_DptsG_0_4p5_M1	0	4.5	M1
34	277dthrABCdasddptsG pwt2.1.1	7_D_Tasd_P_asdD_000_DptsG_0_6_M1	0	6	M1
35	277dthrABCdasddptsG pwt2.1.1	7_D_Tasd_P_asdD_000_DptsG_0_12_M1	0	12	M1
36	277dthrABCdasddptsG pwt2.1.1	7_D_Tasd_P_asdD_000_DptsG_0_24_M1	0	24	M1
37	277dthrABCdasddptsG pwt2.1.1	7_D_Tasd_P_asdD_000_DptsG_I_4p5_M1	I	4.5	M1
38	277dthrABCdasddptsG pwt2.1.1	7_D_Tasd_P_asdD_000_DptsG_I_6_M1	I	6	M1
39	277dthrABCdasddptsG pwt2.1.1	7_D_Tasd_P_asdD_000_DptsG_I_12_M1	I	12	M1
40	277dthrABCdasddptsG pwt2.1.1	7_D_Tasd_P_asdD_000_DptsG_I_24_M1	I	24	M1
41	277dthrABCdasddtdh pwt2.1.1	7_D_Tasd_P_asdD_000_Dtdh_0_4p5_M1	0	4.5	M1
42	277dthrABCdasddtdh pwt2.1.1	7_D_Tasd_P_asdD_000_Dtdh_0_6_M1	0	6	M1
43	277dthrABCdasddtdh pwt2.1.1	7_D_Tasd_P_asdD_000_Dtdh_0_12_M1	0	12	M1
44	277dthrABCdasddtdh pwt2.1.1	7_D_Tasd_P_asdD_000_Dtdh_0_24_M1	0	24	M1
45	277dthrABCdasddtdh pwt2.1.1	7_D_Tasd_P_asdD_000_Dtdh_I_4p5_M1	I	4.5	M1
46	277dthrABCdasddtdh pwt2.1.1	7_D_Tasd_P_asdD_000_Dtdh_I_6_M1	I	6	M1
47	277dthrABCdasddtdh pwt2.1.1	7_D_Tasd_P_asdD_000_Dtdh_I_12_M1	I	12	M1
48	277dthrABCdasddtdh pwt2.1.1	7_D_Tasd_P_asdD_000_Dtdh_I_24_M1	I	24	M1
49	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_0_4p5_M1	0	4.5	M1
50	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_0_6_M1	0	6	M1
51	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_0_12_M1	0	12	M1
52	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_0_24_M1	0	24	M1
53	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_I_4p5_M1	I	4.5	M1
54	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_I_6_M1	I	6	M1
55	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_I_12_M1	I	12	M1
56	277dthrABCdasddtdhdlysC pwt2.1.1	7_D_Tasd_P_asdD_000_DtdhDlysC_I_24_M1	I	24	M1
57	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_0_4p5_M1	0	4.5	M1
58	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_0_6_M1	0	6	M1
59	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_0_12_M1	0	12	M1
60	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_0_24_M1	0	24	M1
61	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_I_4p5_M1	I	4.5	M1
62	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_I_6_M1	I	6	M1
63	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_I_12_M1	I	12	M1
64	277DthrABCDasdDdapA pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdapA_I_24_M1	I	24	M1
65	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_0_4p5_M1	0	4.5	M1
66	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_0_6_M1	0	6	M1
67	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_0_12_M1	0	12	M1
68	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_0_24_M1	0	24	M1
69	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_I_4p5_M1	I	4.5	M1
70	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_I_6_M1	I	6	M1
71	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_I_12_M1	I	12	M1
72	277DthrABCDasdDdhaM pwt2.1.1 +pyc	7_D_Tasd_P_asdD_pyc_DdhaM_I_24_M1	I	24	M1
