id	feature.patric_id	feature.aa_sequence_md5
511145.12	fig|511145.12.peg.2214	a5e840582b686cd8ce1e1d13ef92c2f3
511145.12	fig|511145.12.peg.1049	89b57f904d23ff986eec4f8bd545dfe1
511145.12	fig|511145.12.peg.2662	7d7e164cf8683d8f074f29c7e87f2f08
511145.12	fig|511145.12.peg.3576	35e173d071fe7b3a1f9fcc71f85b73bd
511145.12	fig|511145.12.peg.4205	789cdc73f9b0234ef0741851c7021124
511145.12	fig|511145.12.peg.4233	82913b8f4968401e1b65d62df6913dc2
511145.12	fig|511145.12.peg.4098	bb3e0d7cf8c73e995b255695bc36b470
511145.12	fig|511145.12.peg.2553	673bc2f15054f93501586c9caea997bf
511145.12	fig|511145.12.peg.1362	f54267821097bf2da5d53969cd3631b0
511145.12	fig|511145.12.peg.1255	e6f72b1a051decd04205145dd9f16f65
511145.12	fig|511145.12.peg.2837	328aa579a601d0c6b98c594ba8bf81bb
511145.12	fig|511145.12.peg.4007	e5a904638cb9b4a8bcc407cc8b46856c
511145.12	fig|511145.12.peg.1512	8de8badeaf39e2e16977a0c02fb92745
511145.12	fig|511145.12.peg.3177	46394d8005da3d75cb3a9c4665a02bdc
511145.12	fig|511145.12.peg.1976	d3a6fcf02a643e458dc70faef1d65bcb
511145.12	fig|511145.12.peg.962	8ebcdec344f9d61e1f6cc6da8a1e9919
511145.12	fig|511145.12.peg.4218	d4a5ef41f015a8393ca21129d4a09bca
511145.12	fig|511145.12.peg.2357	c9620a734dc63f2ffb4a0542c6ba0fb6
511145.12	fig|511145.12.peg.1721	63968336180e46a7b732b33ba7812b12
511145.12	fig|511145.12.peg.1730	8662cb806a5b122313ddf632b2c0121f
511145.12	fig|511145.12.peg.3811	33d64a5e13cb491908bc094905cebffb
511145.12	fig|511145.12.peg.3167	9cc7fea250614a449e1972be0e294ae7
511145.12	fig|511145.12.peg.3028	69bb77a7a3d14d6a6f90fb3064cadc4e
511145.12	fig|511145.12.peg.2503	c556e29794117f257152eefec0fd446e
511145.12	fig|511145.12.peg.4063	ebd5357d3ce128574f709ea93cbd420c
511145.12	fig|511145.12.peg.4314	1a57bb4e9510d192b7cfdbeb63f0fd04
511145.12	fig|511145.12.peg.4414	29e5a3b611b13a57961d86c92192eefc
511145.12	fig|511145.12.peg.1346	8363268fa7b8ab3c96eca838750c1a4c
511145.12	fig|511145.12.peg.1766	f4fbd7821c38d46764fc40e1be629d2d
511145.12	fig|511145.12.peg.3830	ca47321ff276a44d263a8eea8fbb42a1
511145.12	fig|511145.12.peg.2445	7909b51c28ff702612096cad7d27a716
511145.12	fig|511145.12.peg.4216	d3aabd2bfef2d44bcfe52a4c266a95fb
511145.12	fig|511145.12.peg.3127	43c25df8e3937e9cf2d501de8338fc94
511145.12	fig|511145.12.peg.23	4f44ee315bb36865c75246f599e9eeed
511145.12	fig|511145.12.peg.2758	3ab1e503e3e953ea6b91720eb832faaf
511145.12	fig|511145.12.peg.1825	f3a0de9cbf2215b2acf43cbdd96fbcd5
511145.12	fig|511145.12.peg.547	488e8ee7b9315d0a67267f130f8bf390
511145.12	fig|511145.12.peg.1509	abe2547b09e9cff8bf838cbd1ce4e266
511145.12	fig|511145.12.peg.2028	ad19a7639463b8497f82a7cafc7e6d6c
511145.12	fig|511145.12.peg.2411	00f16035247d9646639b739f14fd7dc5
511145.12	fig|511145.12.peg.3170	695d885ee329a60de897093ae234fd15
511145.12	fig|511145.12.peg.4174	609bcf8ee00026bc83b30f37b3cbcb58
511145.12	fig|511145.12.peg.417	bab745c09ee80710ad1f5407e19f9037
511145.12	fig|511145.12.peg.3889	4dc325fe6b3788855c5faaf3514c2344
511145.12	fig|511145.12.peg.2964	26909ae862b272187e42c0b14a1c15d3
511145.12	fig|511145.12.peg.4047	09de6da6b58575e022e59620ac8a4c4e
511145.12	fig|511145.12.peg.2675	cbc71f42bfa9d5ba628fd0f044c0b4df
511145.12	fig|511145.12.peg.4497	bf70ee8986945f0221afa8a2145fda80
511145.12	fig|511145.12.peg.757	e7d1fcbc78938f9ff5476c58816c821b
511145.12	fig|511145.12.peg.1833	47b472a80816e3ee4e15e76332c1dc04
511145.12	fig|511145.12.peg.3719	c6deb7847a6f01c74734deeba375556a
511145.12	fig|511145.12.peg.691	0b6ffb4b5e917e71815fd78b961f8398
511145.12	fig|511145.12.peg.2221	09c1bea6addbfe086c5618e01202eec3
511145.12	fig|511145.12.peg.2184	deff73d1b3ea7c1bcd54d5fb8897eba4
511145.12	fig|511145.12.peg.4067	41885b05530325e8f45cb8ae67bb2a19
511145.12	fig|511145.12.peg.2427	173e7a05f33e34e22f1201d66fde48fd
511145.12	fig|511145.12.peg.4087	bff682d892bd20567c21bf5a41df7872
511145.12	fig|511145.12.peg.4099	951984a24105ceca351709a149fd5e19
511145.12	fig|511145.12.peg.3105	5d7967ee01af1c471768d9d86f245332
511145.12	fig|511145.12.peg.2736	d36cedb909e048bdf2cada2a2f31d3bf
511145.12	fig|511145.12.peg.3915	f9084b6015014fd7f1d4ebb2832ca225
511145.12	fig|511145.12.peg.3705	c5954c33b06d050367dfd04212fa7006
511145.12	fig|511145.12.peg.2334	9400523274123c62ddbfa002b9158ae1
511145.12	fig|511145.12.peg.2452	5d8d31a0d9ec9dd797b07d1bb44fb8af
511145.12	fig|511145.12.peg.3790	5005d6db5bf8024bec200c0277610d11
511145.12	fig|511145.12.peg.3147	9ee5e8cd4a58fd0545db42b085d37a2e
511145.12	fig|511145.12.peg.318	fb2f59b05969a7019fd6a5a1a6247a2d
511145.12	fig|511145.12.peg.858	c46426c216e7cf06b47dab106a168a78
511145.12	fig|511145.12.peg.3590	f3d163fb26c65c88133db07ef54b6849
511145.12	fig|511145.12.peg.2077	bfacc59dec922abf306b33e12866dd25
511145.12	fig|511145.12.peg.264	751787cd584546e973fc51dc472cdf67
511145.12	fig|511145.12.peg.2378	f71f2fb7813aea0d11f312f70d3c5464
511145.12	fig|511145.12.peg.2884	49ff6fc65ed111112ee76be427a82132
511145.12	fig|511145.12.peg.1470	b830d9c98e3b64359614205f9291ce01
511145.12	fig|511145.12.peg.71	f54eecbacd9b35ac4c76c6f09f1400c6
511145.12	fig|511145.12.peg.4547	1a7254421c3634fc4c1769b280bd30cf
511145.12	fig|511145.12.peg.2513	b2fa010e4341b27b468c57421675913c
511145.12	fig|511145.12.peg.2311	7ab5c96ce88776428c8b6e0085c2e8f8
511145.12	fig|511145.12.peg.939	3d619470281596fe2c36ea304453db83
511145.12	fig|511145.12.peg.668	6721040d4f79d96c0e941789abf8c5bf
511145.12	fig|511145.12.peg.2641	f28ad39557289061743829a0c5dd4184
511145.12	fig|511145.12.peg.669	7f7a8d3ef3b57e1918ac8a6bec189526
511145.12	fig|511145.12.peg.948	f54b03733b9accf07b649354c09ff99e
511145.12	fig|511145.12.peg.3838	3dcaef98017591f28c391689829fd5da
511145.12	fig|511145.12.peg.3525	7db619436cc0d6bd65e97e46e4f5de58
511145.12	fig|511145.12.peg.3070	1461bb5c0af6c1a3aebae69669861fdd
511145.12	fig|511145.12.peg.2397	9a5315fcb6bb866a2abd9ab28f13a3d9
511145.12	fig|511145.12.peg.786	cbe3f5ba45f669738336d39fe7a1a1b8
511145.12	fig|511145.12.peg.2946	4e43668734e105de99887301275df018
511145.12	fig|511145.12.peg.2927	6d7044950507cb1eb4f2370fb1f2e6e3
511145.12	fig|511145.12.peg.50	0fc0ae6392796ac6c2286821ebe1190b
511145.12	fig|511145.12.peg.2454	44aff99a9d7532249f90e54186b4ac9c
511145.12	fig|511145.12.peg.2367	c1248c724ce8957921fbf7476a95977c
